Entry,Study,ExptA,Expt,Ref,Source,TDBU,FTG,Ygen,Yqual,Yunits,Ydesc,Consumer,Resource,Sys1,Sys2,Des1,Des2,Des3,Des4,Location,Lat,Lon,Elev,LatlonError,Slevels,Spool,Smax,Area,Vol,Bsize,SPscale,LnSPscale,Dur,Gtime,Tscale,LnTscale,Tser,FinalT,SnonF,HigherT,Coll,Comment1,AddTrt1,AddTrt2,AddTrt3,ExpVar,NatVar,Comp.,Tr1,Tr2,Tr1Type,Tr2Type,CO2,fert,Nfert,Pfert,Ofert,Temp,Water,Light,Other,Nfertlevel,Pfertlevel,TdeloC,W%control,Light%control,Comment2,NEmono,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N18,N19,N20,N22,N23,N24,N31,N32,N36,N43,N60,N72,Emono,YEmono,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y18,Y19,Y20,Y22,Y23,Y24,Y31,Y32,Y36,Y43,Y60,Y72,SDEmono,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD18,SD19,SD20,SD22,SD23,SD24,SD31,SD32,SD36,SD43,SD60,SD72,NSmax,YSmax,SDSmax,LRR1,VLRR1,CILRR1,SigLRR1,LRR2,VLRR2,CILRR2,SigLRR2,lina,linb,linrsq,linaic,mma,mmb,mmrsq,mmaic,powa,powb,powrsq,powaic,loga,logb,logrsq,logaic,expa,expb,exprsq,expaic,bestr2,bestaic,"Mclaim: What mechanism(s) do the authors claim underlie diversity effects in their study?  C = Complementarity, F = Facilitation, I = Interference competition, ID = Species identity or composition, IN = Reduced intraspecific competition in polycultures, IP = Intraguild predation, N = Non-linear functional responses, NE = No diversity effect, R = Resource or other form of niche partitioning, S = Sampling effect, Se = Selection effect.",Mtest,Prich,Pcomp,SStot,SSrich,SScomp,PerSSrich,PerSScomp,SScomp2rich,RYT,SDRYT,DT,SDDT,Dmax,SDDmax,Dmean,SDDmean,CE,SDCE,SE,SDSE,SE2CE,DE,SDDE,TDC,SDTDC,TIC,SDTIC,rMiYoi,rMiRYi,Flag1,Flag2,Comment3
3,2,2,2,Bardgett & Shine 1999,"F1, T2",BU,6,RD,T,proportional change,Original units: g m-2,Microbes,"Plantae (Lolium perenne, Holcus lanatus, Ranunculus acris, Anthoxanthum odoratum, Trifolium pratense, Plantango lanceolata leaf litter)",T,7,1,3,3,S,"School of Biological Sciences, 3.614 Stopford Building, University of Manchester, Oxford Road, Manchester M13 9PT, UK",53.46,-2.23,.,lat long of address of first author,6,6,6,0.001,.,.,.,.,100,.,,.,N,Y,.,N,"CJ, BC, KM","Study had 3 destructive sampling dates (25, 50, 100 days).  Authors show no (or weak) interactions between treatment and sample date so data were pooled for analysis.",.,.,.,,,,,,,,,,,,,,,,,,,,,,,3,18,9,9,9,9,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Anthoxanthum odoratum,0.92,0.622,0.681,0.692,0.75,0.753,0.732,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1188,0.06,0.048,0.117,0.117,0.171,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,0.732,0.171,0.163,0.008,0.176,N,-0.229,.,.,.,1.001,0.0378,76.3958,-16.8898,1.2481,0.2591,89.0475,-21.4969,0.0086,0.1043,89.2477,-22.8239,1.0073,0.115,88.545,-21.2278,0.0035,0.0342,76.2867,-18.0784,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
5,2,2,2,Bardgett & Shine 1999,"F1, T2",BU,6,RD,I,?g CO2-C respired g-1 soil h-1,Microbial respiration rate,Microbes,"Plantae (Lolium perenne, Holcus lanatus, Ranunculus acris, Anthoxanthum odoratum, Trifolium pratense, Plantango lanceolata leaf litter)",T,7,1,3,3,S,"School of Biological Sciences, 3.614 Stopford Building, University of Manchester, Oxford Road, Manchester M13 9PT, UK",53.46,-2.23,.,lat long of address of first author,6,6,6,0.001,.,.,.,.,100,.,,.,N,Y,.,N,"CJ, BC","Study had 3 destructive sampling dates (25, 50, 100 days).  Authors show no (or weak) interactions between treatment and sample date so data were pooled for analysis.",.,.,.,,,,,,,,,,,,,,,,,,,,,,,3,18,9,9,9,9,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ranunculus acris,9,2.083,2.111,1.927,2.15,1.966,2.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.905,0.9716,0.951,0.69,0.954,0.795,1.431,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,2.1,1.431,0.008,0.064,0.495,N,-1.455,0.067,0.506,Y,0.9932,-0.0017,0.5812,-15.9841,0.9777,-0.0233,2.9686,-16.1299,-0.0036,-0.0093,1.9788,-15.7694,0.9968,-0.0088,1.884,-16.0632,-0.0074,-0.0018,0.5971,-15.6854,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
75,15,28,28,Carney & Matson 2005,T2,BU,6,RD,I,?g CO2-C g-1,Microbial respiration rate,Soil microbes,Plantae (Tropical lowland rainforest leaf litter),T,9,2,4,3,.,"La Selva Biological Station, Costa Rica.",10.43,-84,50,.,3,5,5,130,.,,,.,80,,,.,N,Y,.,Y,"CJ, BC",Here we only include S = 1 to 5 species because the highest diversity plots were not experimentally controlled (i.e. they were successional plots allowed to colonize naturally).,.,.,.,,,,,,,,,,,,,,,,,,,,,,,.,3,.,3,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1061,.,1195,.,1332,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,105,.,120,.,118,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1332,118,0.227,0.007,0.166,Y,.,.,.,.,0.9357,0.0639,99.996,-29.4263,1.2942,0.3087,88.7319,-5.6006,-0.0074,0.1361,96.7466,-10.0208,0.9903,0.1517,95.484,-8.3437,-0.0551,0.0569,99.9301,-21.5407,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
106,23,41,41,Duffy et al. 2005,F2,BU,2,RD,C,proportional change,Original units: g L-1,Animalia:Arthropoda:Malacostraca:Decapoda (Callinectes sapidus),"Animalia:Arthropoda:Malacostraca (Amphipoda, Isopoda) ",A,5,3,2,1,S,"School of Marine Science Y1120& Virginia Institute of Marine Science, The College of William and Mary, Gloucester Point, VA 23062-1346, USA",37.25,-76.48,.,lat long of address of first author,2,4,4,0.26,122,0.005,52.4192,3.9593,42,10.875,3.8621,1.3512,N,Y,1,Y,"ED(PR), BC, KM","Although study also reports standing stocks of sediment microalgae, eelgrass, and epiphytes, here we focus on macroalgae, which are the primary resource of the grazers.",Predator,.,.,,,,,,,,,,,,,,,,,,,,,,,5,16,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ampithoe,0,0.63,.,.,0.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.39,0.86,.,.,0.19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0.3,0.19,-0.742,0.197,0.869,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,, ,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
144,28,53,53,Fox 2004,"F4, data from author",BU,1,RD,C,proportional change,Original units: g L-1,Protista:Ciliata,Microalgae,A,1,1,3,2,A,"NERC Centre for Population Biology, Imperial College, Silwood Park, Ascot, Berkshire SL5 7PY, UK",51.41,-0.63,.,lat long of address of first author,2,7,7,.,0.1,,,.,7,,,.,Y,N,1,Y,"AD, BC",This is the effect of algal species richness (1 vs. 7 species) on algal biomass in systems with 1-species of ciliate herbivore.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,6,42,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Cry,-0.0022,0.0106,.,.,.,.,.,0.0023,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0032,0.0534,.,.,.,.,.,0.0338,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0.002,0.034,-1.515,35.552,11.687,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
145,28,53,53,Fox 2004,"F4, data from author",BU,1,RD,C,proportional change,Original units: g L-1,Protista:Ciliata,Microalgae,A,1,1,3,2,A,"NERC Centre for Population Biology, Imperial College, Silwood Park, Ascot, Berkshire SL5 7PY, UK",51.41,-0.63,.,lat long of address of first author,2,7,7,.,0.1,,,.,30,,,.,Y,N,1,Y,"AD, BC",This is the effect of algal species richness (1 vs. 7 species) on algal biomass in systems with 1-species of ciliate herbivore.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,6,42,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ast,-0.0315,0.0076,.,.,.,.,.,0.0458,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0526,0.0661,.,.,.,.,.,0.4063,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0.046,0.406,1.797,14.899,7.565,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
146,28,53,53,Fox 2004,"F4, data from author",BU,1,RD,C,proportional change,Original units: g L-1,Protista:Ciliata,Microalgae,A,1,1,3,2,A,"NERC Centre for Population Biology, Imperial College, Silwood Park, Ascot, Berkshire SL5 7PY, UK",51.41,-0.63,.,lat long of address of first author,2,7,7,.,0.1,,,.,60,,,.,Y,Y,1,Y,"AD, BC",This is the effect of algal species richness (1 vs. 7 species) on algal biomass in systems with 1-species of ciliate herbivore.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,6,42,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,0.0218,.,.,.,.,.,-0.097,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.4777,.,.,.,.,.,0.4982,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,-0.097,0.498,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
154,28,54,54,Fox 2004,"F4, data from author",BU,1,RD,C,proportional change,Original units: g L-1,Protista:Ciliata,Microalgae,A,1,1,3,2,A,"NERC Centre for Population Biology, Imperial College, Silwood Park, Ascot, Berkshire SL5 7PY, UK",51.41,-0.63,.,lat long of address of first author,2,7,7,.,0.1,,,.,7,,,.,Y,N,3,Y,"AD, BC",This is the effect of algal species richness (1 vs. 7 species) on algal biomass in systems with 3-species of ciliate herbivore.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,2,14,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Cho,0.0385,0.0111,.,.,.,.,.,0.0175,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0148,0.0613,.,.,.,.,.,0.0262,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0.018,0.026,0.458,3.304,3.563,N,-0.788,1.192,2.14,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
155,28,54,54,Fox 2004,"F4, data from author",BU,1,RD,C,proportional change,Original units: g L-1,Protista:Ciliata,Microalgae,A,1,1,3,2,A,"NERC Centre for Population Biology, Imperial College, Silwood Park, Ascot, Berkshire SL5 7PY, UK",51.41,-0.63,.,lat long of address of first author,2,7,7,.,0.1,,,.,30,,,.,Y,N,3,Y,"AD, BC",This is the effect of algal species richness (1 vs. 7 species) on algal biomass in systems with 3-species of ciliate herbivore.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,2,14,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hae,-0.249,-0.0351,.,.,.,.,.,-0.026,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.3097,0.15,.,.,.,.,.,0.6025,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,-0.026,0.602,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
156,28,54,54,Fox 2004,"F4, data from author",BU,1,RD,C,proportional change,Original units: g L-1,Protista:Ciliata,Microalgae,A,1,1,3,2,A,"NERC Centre for Population Biology, Imperial College, Silwood Park, Ascot, Berkshire SL5 7PY, UK",51.41,-0.63,.,lat long of address of first author,2,7,7,.,0.1,,,.,60,,,.,Y,Y,3,Y,"AD, BC",This is the effect of algal species richness (1 vs. 7 species) on algal biomass in systems with 3-species of ciliate herbivore.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,2,14,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0798,.,.,.,.,.,-0.2405,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.6666,.,.,.,.,.,0.6357,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,-0.241,0.636,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
