"","Entry","Mno","restrt","..1","Study","Expt","Ref","TDBU","FTG","Ygen","Yunits","Sys1","Slevels","Smax","Dur","Gtime","Tscale","LnTscale","Tser","FinalT","HigherT","richness","value","unit.types","unit.types2","MaxTscale","Finaltime","logMaxTime","logY","logS","TG1"
"1",26,766,"control",NA,"5","12","Bret-Harte et al. 2004","TD","P","SST","g m-2","T",5,24,"730","1095",0.6667,"-0.4055","N","Y","Y",20,418,"mass","biomass",0.6667,"Y",-0.405415109358123,6.03548143252476,2.99573227355399,"P"
"2",26,766,"control",NA,"5","12","Bret-Harte et al. 2004","TD","P","SST","g m-2","T",5,24,"730","1095",0.6667,"-0.4055","N","Y","Y",19,583,"mass","biomass",0.6667,"Y",-0.405415109358123,6.36818718635049,2.94443897916644,"P"
"3",26,766,"control",NA,"5","12","Bret-Harte et al. 2004","TD","P","SST","g m-2","T",5,24,"730","1095",0.6667,"-0.4055","N","Y","Y",23,621,"mass","biomass",0.6667,"Y",-0.405415109358123,6.43133108193348,3.13549421592915,"P"
"4",26,766,"control",NA,"5","12","Bret-Harte et al. 2004","TD","P","SST","g m-2","T",5,24,"730","1095",0.6667,"-0.4055","N","Y","Y",24,725,"mass","biomass",0.6667,"Y",-0.405415109358123,6.58617165485467,3.17805383034795,"P"
"5",26,766,"control",NA,"5","12","Bret-Harte et al. 2004","TD","P","SST","g m-2","T",5,24,"730","1095",0.6667,"-0.4055","N","Y","Y",22,408,"mass","biomass",0.6667,"Y",-0.405415109358123,6.01126717440416,3.09104245335832,"P"
"6",29,767,"incr",NA,"5","13","Bret-Harte et al. 2004","TD","P","SST","g m-2","T",5,24,"730","1095",0.6667,"-0.4055","N","Y","Y",19,595,"mass","biomass",0.6667,"Y",-0.405415109358123,6.38856140554563,2.94443897916644,"P"
"7",29,767,"incr",NA,"5","13","Bret-Harte et al. 2004","TD","P","SST","g m-2","T",5,24,"730","1095",0.6667,"-0.4055","N","Y","Y",20,551,"mass","biomass",0.6667,"Y",-0.405415109358123,6.31173480915291,2.99573227355399,"P"
"8",29,767,"incr",NA,"5","13","Bret-Harte et al. 2004","TD","P","SST","g m-2","T",5,24,"730","1095",0.6667,"-0.4055","N","Y","Y",22,573,"mass","biomass",0.6667,"Y",-0.405415109358123,6.35088571671474,3.09104245335832,"P"
"9",29,767,"incr",NA,"5","13","Bret-Harte et al. 2004","TD","P","SST","g m-2","T",5,24,"730","1095",0.6667,"-0.4055","N","Y","Y",23,782,"mass","biomass",0.6667,"Y",-0.405415109358123,6.66185474054531,3.13549421592915,"P"
"10",29,767,"incr",NA,"5","13","Bret-Harte et al. 2004","TD","P","SST","g m-2","T",5,24,"730","1095",0.6667,"-0.4055","N","Y","Y",24,961,"mass","biomass",0.6667,"Y",-0.405415109358123,6.86797440897029,3.17805383034795,"P"
