"","Entry","Mno","restrt","..1","Study.y","ExptA","Ref","TDBU","FTG","Ygen","Yunits","Sys1","Des1","Slevels","Smax","Dur","Gtime","Tscale","LnTscale","Tser","FinalT","HigherT","richness","value","Mean.value","value.st","unit.types","unit.types2","MaxTscale","Finaltime","logMaxTime","logY","logS","TG1","Study","minval","maxval","convert.min","convert.max","values.rs","logY.rs","logYst","logSc","lnTc","logSmax","logSmaxc"
"1","100",786,"control",0.002,23,"40","Duffy et al. 2005","TD",2,"SST","g m-2","A",3,2,4,"42","10.875",3.8621,"1.3512","N","Y","Y",4,0.0064,0.00655,0.977099236641221,"mass","biomass",3.8621,"Y",1.35121107699062,-5.05145728861651,1.38629436111989,"2","23",0.0064,0.0067,"1","0",6.4,1.85629799036563,-0.0231670592815344,-0.693147180559945,-1.05283709535386,1.38629436111989,-0.405465108108164
"2","100",786,"control",0.002,23,"40","Duffy et al. 2005","TD",2,"SST","g m-2","A",3,2,4,"42","10.875",3.8621,"1.3512","N","Y","Y",1,0.0067,0.00655,1.02290076335878,"mass","biomass",3.8621,"Y",1.35121107699062,-5.00564775258522,0,"2","23",0.0064,0.0067,"1","0",6.7,1.90210752639692,0.0226424767497598,-2.07944154167984,-1.05283709535386,1.38629436111989,-0.405465108108164
"3","1000",1188,"control",NA,150,"402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",1,788.5657,1092.93593333333,0.721511367637957,"mass","biomass",0.5437,"Y",-0.609357654830262,6.67021572569669,0,"1","150",788.5657,1251.931,"0","0",788.5657,6.67021572569669,-0.326407145330365,-2.07944154167984,-3.01340582717474,2.19722457733622,0.405465108108165
"4","1000",1188,"control",NA,150,"402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",3,1238.3111,1092.93593333333,1.13301343860412,"mass","biomass",0.5437,"Y",-0.609357654830262,7.121503714083,1.09861228866811,"1","150",788.5657,1251.931,"0","0",1238.3111,7.121503714083,0.124880843055948,-0.980829253011726,-3.01340582717474,2.19722457733622,0.405465108108165
"5","1000",1188,"control",NA,150,"402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",9,1251.931,1092.93593333333,1.14547519375793,"mass","biomass",0.5437,"Y",-0.609357654830262,7.13244243832025,2.19722457733622,"1","150",788.5657,1251.931,"0","0",1251.931,7.13244243832025,0.135819567293192,0.117783035656384,-3.01340582717474,2.19722457733622,0.405465108108165
"6","1001",1189,"control",NA,150,"402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"730","892",0.8184,"-0.2004","Y","N","N",1,978.3333,1352.43826666667,0.723384811057796,"mass","biomass",0.8184,"Y",-0.20040406434472,6.88585040952254,0,"1","150",978.3333,1771.0185,"0","0",978.3333,6.88585040952254,-0.323813956287009,-2.07944154167984,-2.6044522366892,2.19722457733622,0.405465108108165
"7","1001",1189,"control",NA,150,"402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"730","892",0.8184,"-0.2004","Y","N","N",3,1307.963,1352.43826666667,0.967114752840968,"mass","biomass",0.8184,"Y",-0.20040406434472,7.17622624415527,1.09861228866811,"1","150",978.3333,1771.0185,"0","0",1307.963,7.17622624415527,-0.0334381216542732,-0.980829253011726,-2.6044522366892,2.19722457733622,0.405465108108165
"8","1001",1189,"control",NA,150,"402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"730","892",0.8184,"-0.2004","Y","N","N",9,1771.0185,1352.43826666667,1.30950043610124,"mass","biomass",0.8184,"Y",-0.20040406434472,7.47931008380394,2.19722457733622,"1","150",978.3333,1771.0185,"0","0",1771.0185,7.47931008380394,0.269645717994391,0.117783035656384,-2.6044522366892,2.19722457733622,0.405465108108165
"9","1002",1190,"control",NA,150,"402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"850","892",0.9529,"-0.0482","Y","Y","N",1,1030.9722,1448.85286666667,0.711578258717138,"mass","biomass",0.9529,"Y",-0.0482453126279945,6.93825751954091,0,"1","150",1030.9722,1766.0185,"0","0",1030.9722,6.93825751954091,-0.340269876331261,-2.07944154167984,-2.45229348497247,2.19722457733622,0.405465108108165
"10","1002",1190,"control",NA,150,"402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"850","892",0.9529,"-0.0482","Y","Y","N",3,1549.5679,1448.85286666667,1.06951363775471,"mass","biomass",0.9529,"Y",-0.0482453126279945,7.34573139685499,1.09861228866811,"1","150",1030.9722,1766.0185,"0","0",1549.5679,7.34573139685499,0.0672040009828247,-0.980829253011726,-2.45229348497247,2.19722457733622,0.405465108108165
"11","1002",1190,"control",NA,150,"402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"850","892",0.9529,"-0.0482","Y","Y","N",9,1766.0185,1448.85286666667,1.21890810352816,"mass","biomass",0.9529,"Y",-0.0482453126279945,7.47648285676023,2.19722457733622,"1","150",1030.9722,1766.0185,"0","0",1766.0185,7.47648285676023,0.197955460888055,0.117783035656384,-2.45229348497247,2.19722457733622,0.405465108108165
"12","1025",1191,"control",99.8366,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"120","365",0.3288,"-1.1124","Y","N","Y",1,102.7264,98.3329,1.04467985791124,"cover","perc.cover",0.3288,"Y",-1.11230561580011,4.63206914329671,0,"1","152",93.9394,102.7264,"0","0",102.7264,4.63206914329671,0.0437104824143676,-2.07944154167984,-3.51635378814459,1.38629436111989,-0.405465108108164
"13","1025",1191,"control",99.8366,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"120","365",0.3288,"-1.1124","Y","N","Y",4,93.9394,98.3329,0.955320142088762,"cover","perc.cover",0.3288,"Y",-1.11230561580011,4.54264989352288,1.38629436111989,"1","152",93.9394,102.7264,"0","0",93.9394,4.54264989352288,-0.0457087673594548,-0.693147180559945,-3.51635378814459,1.38629436111989,-0.405465108108164
"14","1026",1192,"control",76.0621,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"210","365",0.5753,"-0.5528","Y","N","Y",1,70.8594,73.57585,0.963079597449435,"cover","perc.cover",0.5753,"Y",-0.552863635112889,4.26069763200097,0,"1","152",70.8594,76.2923,"0","0",70.8594,4.26069763200097,-0.0376192148890747,-2.07944154167984,-2.95691180745737,1.38629436111989,-0.405465108108164
"15","1026",1192,"control",76.0621,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"210","365",0.5753,"-0.5528","Y","N","Y",4,76.2923,73.57585,1.03692040255057,"cover","perc.cover",0.5753,"Y",-0.552863635112889,4.33457201576671,1.38629436111989,"1","152",70.8594,76.2923,"0","0",76.2923,4.33457201576671,0.0362551688766682,-0.693147180559945,-2.95691180745737,1.38629436111989,-0.405465108108164
"16","1027",1193,"control",57.5163,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"300","365",0.8219,"-0.1961","Y","N","Y",1,51.6688,57.5189,0.898292561227701,"cover","perc.cover",0.8219,"Y",-0.196136545827683,3.9448541177213,0,"1","152",51.6688,63.369,"0","0",51.6688,3.9448541177213,-0.107259471725602,-2.07944154167984,-2.60018471817216,1.38629436111989,-0.405465108108164
"17","1027",1193,"control",57.5163,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"300","365",0.8219,"-0.1961","Y","N","Y",4,63.369,57.5189,1.1017074387723,"cover","perc.cover",0.8219,"Y",-0.196136545827683,4.14897478287322,1.38629436111989,"1","152",51.6688,63.369,"0","0",63.369,4.14897478287322,0.0968611934263181,-0.693147180559945,-2.60018471817216,1.38629436111989,-0.405465108108164
"18","1028",1194,"control",59.4771,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"390","365",1.0685,"0.0662","Y","N","Y",1,55.3609,69.1243,0.800889122927827,"cover","perc.cover",1.0685,"Y",0.0662557957770653,4.0138735684027,0,"1","152",55.3609,82.8877,"0","0",55.3609,4.0138735684027,-0.222032764806246,-2.07944154167984,-2.33779237656741,1.38629436111989,-0.405465108108164
"19","1028",1194,"control",59.4771,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"390","365",1.0685,"0.0662","Y","N","Y",4,82.8877,69.1243,1.19911087707217,"cover","perc.cover",1.0685,"Y",0.0662557957770653,4.41748667960114,1.38629436111989,"1","152",55.3609,82.8877,"0","0",82.8877,4.41748667960114,0.181580346392192,-0.693147180559945,-2.33779237656741,1.38629436111989,-0.405465108108164
"20","1029",1195,"control",82.0261,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"480","365",1.3151,"0.2739","Y","N","Y",1,72.111,89.3086,0.80743623794349,"cover","perc.cover",1.3151,"Y",0.273912708365782,4.27820659853463,0,"1","152",72.111,106.5062,"0","0",72.111,4.27820659853463,-0.213891189302095,-2.07944154167984,-2.1301354639787,1.38629436111989,-0.405465108108164
"21","1029",1195,"control",82.0261,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"480","365",1.3151,"0.2739","Y","N","Y",4,106.5062,89.3086,1.19256376205651,"cover","perc.cover",1.3151,"Y",0.273912708365782,4.66820319941744,1.38629436111989,"1","152",72.111,106.5062,"0","0",106.5062,4.66820319941744,0.176105411580708,-0.693147180559945,-2.1301354639787,1.38629436111989,-0.405465108108164
"22","103",787,"control",0.0033,23,"41","Duffy et al. 2005","TD",2,"SST","g m-2","A",3,2,4,"42","10.875",3.8621,"1.3512","N","Y","Y",1,0.0016,0.00275,0.581818181818182,"mass","biomass",3.8621,"Y",1.35121107699062,-6.4377516497364,0,"2","23",0.0016,0.0039,"1","0",1.6,0.470003629245736,-0.541597282432744,-2.07944154167984,-1.05283709535386,1.38629436111989,-0.405465108108164
"23","103",787,"control",0.0033,23,"41","Duffy et al. 2005","TD",2,"SST","g m-2","A",3,2,4,"42","10.875",3.8621,"1.3512","N","Y","Y",4,0.0039,0.00275,1.41818181818182,"mass","biomass",3.8621,"Y",1.35121107699062,-5.54677872584654,1.38629436111989,"2","23",0.0016,0.0039,"1","0",3.9,1.3609765531356,0.349375641457121,-0.693147180559945,-1.05283709535386,1.38629436111989,-0.405465108108164
"24","1030",1196,"control",77.1242,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"570","365",1.5616,"0.4457","Y","N","Y",1,71.0889,88.08455,0.807052996240544,"cover","perc.cover",1.5616,"Y",0.445710936676691,4.26393120647803,0,"1","152",71.0889,105.0802,"0","0",71.0889,4.26393120647803,-0.214365942186203,-2.07944154167984,-1.95833723566779,1.38629436111989,-0.405465108108164
"25","1030",1196,"control",77.1242,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"570","365",1.5616,"0.4457","Y","N","Y",4,105.0802,88.08455,1.19294700375946,"cover","perc.cover",1.5616,"Y",0.445710936676691,4.65472386812729,1.38629436111989,"1","152",71.0889,105.0802,"0","0",105.0802,4.65472386812729,0.176426719463058,-0.693147180559945,-1.95833723566779,1.38629436111989,-0.405465108108164
"26","1031",1197,"control",73.8562,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"660","365",1.8082,"0.5923","Y","N","Y",1,67.2299,77.68805,0.865382771224146,"cover","perc.cover",1.8082,"Y",0.592331875321129,4.20811808904863,0,"1","152",67.2299,88.1462,"0","0",67.2299,4.20811808904863,-0.144583359843254,-2.07944154167984,-1.81171629702335,1.38629436111989,-0.405465108108164
"27","1031",1197,"control",73.8562,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"660","365",1.8082,"0.5923","Y","N","Y",4,88.1462,77.68805,1.13461722877585,"cover","perc.cover",1.8082,"Y",0.592331875321129,4.47899679957663,1.38629436111989,"1","152",67.2299,88.1462,"0","0",88.1462,4.47899679957663,0.126295350684741,-0.693147180559945,-1.81171629702335,1.38629436111989,-0.405465108108164
"28","1032",1198,"control",84.7222,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"750","365",2.0548,"0.7202","Y","N","Y",1,73.9257,77.96105,0.948238896218047,"cover","perc.cover",2.0548,"Y",0.720178519610976,4.30306053475019,0,"1","152",73.9257,81.9964,"0","0",73.9257,4.30306053475019,-0.053148808243832,-2.07944154167984,-1.6838696527335,1.38629436111989,-0.405465108108164
"29","1032",1198,"control",84.7222,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"750","365",2.0548,"0.7202","Y","N","Y",4,81.9964,77.96105,1.05176110378195,"cover","perc.cover",2.0548,"Y",0.720178519610976,4.40667534386149,1.38629436111989,"1","152",73.9257,81.9964,"0","0",81.9964,4.40667534386149,0.0504660008674704,-0.693147180559945,-1.6838696527335,1.38629436111989,-0.405465108108164
"30","1033",1199,"control",89.8693,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"840","365",2.3014,"0.8335","Y","N","Y",1,66.917,92.0592,0.726890957123242,"cover","perc.cover",2.3014,"Y",0.833517633407221,4.2034530454664,0,"1","152",66.917,117.2014,"0","0",66.917,4.2034530454664,-0.31897880290014,-2.07944154167984,-1.57053053893726,1.38629436111989,-0.405465108108164
"31","1033",1199,"control",89.8693,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"840","365",2.3014,"0.8335","Y","N","Y",4,117.2014,92.0592,1.27310904287676,"cover","perc.cover",2.3014,"Y",0.833517633407221,4.76389382246406,1.38629436111989,"1","152",66.917,117.2014,"0","0",117.2014,4.76389382246406,0.241461974097513,-0.693147180559945,-1.57053053893726,1.38629436111989,-0.405465108108164
"32","1034",1200,"control",95.8333,152,"404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"930","365",2.5479,"0.9353","Y","N","Y",1,78.0142,100.4153,0.77691547005287,"cover","perc.cover",2.5479,"Y",0.935269490471936,4.35689086140232,0,"1","152",78.0142,122.8164,"0","0",78.0142,4.35689086140232,-0.252423724683313,-2.07944154167984,-1.46877868187254,1.38629436111989,-0.405465108108164
