"","Entry","ExptA","Mno","restrt","Expt","Ref","TDBU","FTG","Ygen","Yunits","Sys1","Des1","Slevels","Smax","Dur","Gtime","Tscale","LnTscale","Tser","FinalT.x","HigherT","richness","value","Mean.value","value.st","unit.types","unit.types2","maxTscale","logMaxTime","logY","logS","TG1","Study","minval","maxval","logY.rs","logSc","logSmax","logSmaxc"
"1","100","40",786,"control","40","Duffy et al. 2005","TD",2,"SST","g m-2","A",3,2,4,"42","10.875",3.8621,"1.3512","N","Y","Y",4,0.0064,0.00655,0.977099236641221,"mass","biomass",3.8621,1.58147044335005,-5.05145728861651,1.38629436111989,"2","23",0.0064,0.0067,1.85629799036563,-0.693147180559945,1.38629436111989,-0.693147180559945
"2","100","40",786,"control","40","Duffy et al. 2005","TD",2,"SST","g m-2","A",3,2,4,"42","10.875",3.8621,"1.3512","N","Y","Y",1,0.0067,0.00655,1.02290076335878,"mass","biomass",3.8621,1.58147044335005,-5.00564775258522,0,"2","23",0.0064,0.0067,1.90210752639692,-2.07944154167984,1.38629436111989,-0.693147180559945
"3","1000","402",1188,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",1,788.5657,1092.93593333333,0.721511367637957,"mass","biomass",0.9529,0.6693154473066,6.67021572569669,0,"1","150",788.5657,1251.931,6.67021572569669,-2.07944154167984,2.19722457733622,0.117783035656384
"4","1000","402",1188,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",1,788.5657,1092.93593333333,0.721511367637957,"mass","biomass",0.8184,0.597956993556196,6.67021572569669,0,"1","150",788.5657,1251.931,6.67021572569669,-2.07944154167984,2.19722457733622,0.117783035656384
"5","1000","402",1188,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",3,1238.3111,1092.93593333333,1.13301343860412,"mass","biomass",0.9529,0.6693154473066,7.121503714083,1.09861228866811,"1","150",788.5657,1251.931,7.121503714083,-0.980829253011726,2.19722457733622,0.117783035656384
"6","1000","402",1188,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",3,1238.3111,1092.93593333333,1.13301343860412,"mass","biomass",0.8184,0.597956993556196,7.121503714083,1.09861228866811,"1","150",788.5657,1251.931,7.121503714083,-0.980829253011726,2.19722457733622,0.117783035656384
"7","1000","402",1188,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",9,1251.931,1092.93593333333,1.14547519375793,"mass","biomass",0.9529,0.6693154473066,7.13244243832025,2.19722457733622,"1","150",788.5657,1251.931,7.13244243832025,0.117783035656384,2.19722457733622,0.117783035656384
"8","1000","402",1188,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",9,1251.931,1092.93593333333,1.14547519375793,"mass","biomass",0.8184,0.597956993556196,7.13244243832025,2.19722457733622,"1","150",788.5657,1251.931,7.13244243832025,0.117783035656384,2.19722457733622,0.117783035656384
"9","1001","402",1189,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"730","892",0.8184,"-0.2004","Y","N","N",1,978.3333,1352.43826666667,0.723384811057796,"mass","biomass",0.9529,0.6693154473066,6.88585040952254,0,"1","150",978.3333,1771.0185,6.88585040952254,-2.07944154167984,2.19722457733622,0.117783035656384
"10","1001","402",1189,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"730","892",0.8184,"-0.2004","Y","N","N",1,978.3333,1352.43826666667,0.723384811057796,"mass","biomass",0.8184,0.597956993556196,6.88585040952254,0,"1","150",978.3333,1771.0185,6.88585040952254,-2.07944154167984,2.19722457733622,0.117783035656384
