site,studySub,studyName,subSiteID,sppCode,Scale,date.no,dateR,rich,div,abund,temp_n,duration,initialDate.no,initialRich,initialDiv,initialAbund,initialDateR,PubGrayRaw,Peer,Sys,Taxon,Trophic,alphaSQM,AbundType,AbundUnitsOrig,AbundYes,Event,Event1,Event2,Driver,Prediction,EventDate1,EventDate2,Lat,Long,nSiteReps,Climate,Protection,event1R,event2R,abundFinal,slKM,gammaSQM,richLN,initialRichLN,year0,initialYr,year0Z,initialYrZ,durationZ,abundCS
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,37103,8/1/05,11.5,1.823054743,123.75,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,123.8,0.1,200,2.451,2.451,43.58,39.58,15.58,11.58,-16.99,1.509
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,39294,8/1/11,13.5,2.002909724,83.125,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,83.1,0.1,200,2.61,2.451,49.58,39.58,21.58,11.58,-16.99,0.225
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,38929,8/1/10,14.5,2.0795966,92.5,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,92.5,0.1,200,2.681,2.451,48.58,39.58,20.58,11.58,-16.99,0.522
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,37833,8/1/07,11.5,1.776991918,108.125,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,108.1,0.1,200,2.451,2.451,45.58,39.58,17.58,11.58,-16.99,1.014
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,36007,8/1/02,8,1.635116105,44.375,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,44.4,0.1,200,2.092,2.451,40.58,39.58,12.58,11.58,-16.99,-0.995
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,39660,8/1/12,11.5,2.005904079,80,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,80,0.1,200,2.451,2.451,50.58,39.58,22.58,11.58,-16.99,0.127
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,36372,8/1/03,5.5,1.273754189,26.25,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,26.3,0.1,200,1.723,2.451,41.58,39.58,13.58,11.58,-16.99,-1.566
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,37468,8/1/06,11.5,1.987021731,79.375,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,79.4,0.1,200,2.451,2.451,44.58,39.58,16.58,11.58,-16.99,0.109
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,38199,8/1/08,9.5,1.455156792,86.875,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,86.9,0.1,200,2.262,2.451,46.58,39.58,18.58,11.58,-16.99,0.345
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,36738,8/1/04,3.5,0.84137472,16.25,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,16.3,0.1,200,1.281,2.451,42.58,39.58,14.58,11.58,-16.99,-1.881
