,Ref,..1
1,"Badano & Marquet, Persp Plant Ecol Evol Syst 2009",56
2,"Bessler et al, Ecology 2009",28
3,"Biondini, Rest Ecol 2007",504
4,"Bonkowski & Roy, Oecologia 2005",168
5,"Boyer et al, Oikos 2009",336
6,"Boyero et al, Ecol Res 2007",28
7,Bret-Harte et al. 2004,56
8,"Bruno et al, Oikos 2006",28
9,Bruno et al. 2005,140
10,Callaway et al. 2003,56
11,"Chen et al, Ag Eco Env 2004",168
12,Dang et al. 2005,84
13,"De Boeck et al, Biogeo 2008",280
14,"De Deyn et al, J Ecol 2009",112
15,Dimitrakopoulos & Schmid 2004,84
16,"Dimitrakopoulos et al, Envion Manag 2006",28
17,"Douglass et al, Ecol Lett 2008",112
18,Duarte et al.  2006,28
19,Duffy et al. 2001,28
20,Duffy et al. 2003,28
21,Duffy et al. 2005,56
22,Dukes 2001,56
23,"Dybzinski et al, Oecologia 2008",28
24,"Dzialowski & Smith, Fresh Biol 2008",56
25,"Eisenhauer et al, Oecologia 2009",112
26,Engelhardt & Ritchie 2002,28
27,"Erksine et al, For Ecol Manag 2006",28
28,"Flombaun & Sala, PNAS 2008",84
29,Fox 2002,168
30,Fox 2004,308
31,Fridley 2002,84
32,Fridley 2003,112
33,Gamfeldt et al. 2005,196
34,"Gastine et al, Acta Oecologia 2003",28
35,Griffiths et al. 2001,28
36,"Isbell et al, Ecol Lett 2009",224
37,"Isbell et al, Oikos 2008",56
38,"Jiang, Ecology 2007",56
39,"Karanika et al, Plant Soil 2007",56
40,"Kirui et al, Hydrobiologia 2008",28
41,"Kirwan et al, J Ecol 2007",1848
42,Lanta & Leps 2006,56
43,"Laossi et al, Pedobiol 2008",28
44,"Maestre & Reynolds, Oecologia 2007",112
45,"Menalled et al, For Ecol Man 1998",84
46,Mikola & Setala 1998,28
47,Mikola 1998,56
48,Mikola et al.  2002,28
49,"Moorthi et al, Estuaries Coasts 2008",560
50,Mulder et al.  2001,56
51,Naeem et al. 1996,28
52,"Niklaus et al, Plant Soil 2006",336
53,"Nilsson et al, Oikos 2008",336
54,Norberg 2000,28
55,"Nyfeler et al, App Ecol 2009",252
56,"Picasso et al, Crop Science 2008",112
57,"Potvin & Gotelli, Ecol Lett 2008",84
58,"Power & Cardinale, Oikos 2009",84
59,"Redondo-Brenes & Montagini, For Ecol Mang 2006",84
60,Reich et al. - BioCON (E141),896
61,"Replansky & Bell, Oikos 2009",616
62,"Rixen & Mulder, Oecologia 2005",112
63,"Rixen et al, Persp Plant Ecol Evol Syst 2008",224
64,"Roscher et al, J Ecol 2008",56
65,"Rudgers et al, Oecologia 2005",56
66,Setala & McLean  2004,28
67,"Sheley & Bates, Weed Science 2008",448
68,Smith & Allcock 1985,56
69,"Smith et al, Ecosystems 2008",56
70,"Sorensen et al, Soil Biol Biochem 2008",56
71,"Spaekova & Leps, Ecol Lett 2001",112
72,Spehn et al. 2005 (BIODEPTH),812
73,"Stachowicz et al, Ecology 2008",364
74,"Stachowicz et al, PNAS 2008",28
75,Steiner et al. 2005,308
76,Stocker et al. 1999,56
77,"Striebel et al, Am Nat 2009",28
78,"Striebel et al, Ecology 2009",56
79,"Sullivan & Zedler, Oikos 1999",112
80,"Sullivan et al, Ecol Monogr 2007",168
81,Symstad et al. 1998,28
82,Tilman et al. - Biodiversity I (E123),224
83,Tilman et al. - Biodiversity II (E120),280
84,Van Peer et al. 2004,28
85,van Ruijven & Berendse 2005,112
86,"Vanelslander et al, J Ecol 2009",28
87,"von Felton & Schmid, J Plant Ecol 2008",224
88,"Wacker et al, Basic App Ecol 2008",224
89,"Wacker et al, Ecology 2009",1120
90,Wardle at al. 2003,28
91,"Weis et al, PloS 2008",168
92,"Weis et al, Plos One 2008",56
93,Weis et al. 2007,504
94,"Wenninger & Inouye, J Arid Env. 2008",84
95,Wilsey & Polley 2004,56
96,Wohl et al. 2004,140
97,Wojdak 2005,112
98,"Zhang & Zang, Oikos 2006",84
