Mno,Entry,Study,Expt,Ref,Source,TDBU,FTG,TG,Ygen,Yqual,Yunits,Ydesc,Consumer,Taxon,Resource,Sys1,Sys2,Des1,Des2,Des3,Des4,Location,Lat,Lon,Elev,LatlonError,Slevels,Spool,Smax,Area,Vol,Bsize,SPscale,Dur,Gtime,Tscale,LnTscale,Tser,FinalT,SnonF,HigherT,AddTrt1,AddTrt2,AddTrt3,Treatment,restrt,Monotes,YEmono,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
414,1,1,1,Aquilino et al. 2005,F2; F3; data from authors,TD,C,3,SSR,,number m-2,Herbivore abundance,Animalia:Arthropoda:Insecta (Coccinelidae; Nabidae),,Animalia:Arthropoda:Insecta (Aphididae; Acyrthosiphon pisum),0,11,1,3,2,S,Dept Zoology; University of Madison Wisconsin,43.07,-89.4,,,2,3,3,0.2,10.4,0.0094,21.2698,1,30.9125,0.0404,-3.208,N,Y,1,N,,,,control,control,,25.1429,49.6154,,32.3078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,1,Aquilino et al. 2005,F2; F3; data from authors,TD,C,3,RD,T,proportional change,Original units: number m-2,Animalia:Arthropoda:Insecta (Coccinelidae; Nabidae),,Animalia:Arthropoda:Insecta (Aphididae; Acyrthosiphon pisum),0,11,1,3,2,S,Dept Zoology; University of Madison Wisconsin,43.07,-89.4,,,2,3,3,0.2,10.4,0.0094,21.2698,1,30.9125,0.0404,-3.208,N,Y,1,N,,,,control,control,,0.7989,0.6031,,0.7415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,2,2,Bardgett & Shine 1999,F1; T2,BU,O,4,RD,T,proportional change,Original units: g m-2,Microbes,,Plantae (Lolium perenne; Holcus lanatus; Ranunculus acris; Anthoxanthum odoratum; Trifolium pratense; Plantango lanceolata leaf litter),0,7,1,3,3,S,School of Biological Sciences; 3.614 Stopford Building; University of Manchester; Oxford Road; Manchester M13 9PT; UK,53.46,-2.23,,lat long of address of first author,6,6,6,0.001,,,,100,,,,N,Y,,N,,,,control,control,,0.92,0.622,0.681,0.692,0.75,0.753,0.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,4,2,2,Bardgett & Shine 1999,F1; T2,BU,O,4,SSR,,g m-2,Litter dry mass,Microbes,,Plantae (Lolium perenne; Holcus lanatus; Ranunculus acris; Anthoxanthum odoratum; Trifolium pratense; Plantango lanceolata leaf litter),0,7,1,3,3,S,School of Biological Sciences; 3.614 Stopford Building; University of Manchester; Oxford Road; Manchester M13 9PT; UK,53.46,-2.23,,lat long of address of first author,6,6,6,0.001,,,,100,,,,N,Y,,N,,,,control,control,,80,378,319,308,250,247,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,2,2,Bardgett & Shine 1999,F1; T2,BU,O,4,RD,I,_g CO2-C respired g-1 soil h-1,Microbial respiration rate,Microbes,,Plantae (Lolium perenne; Holcus lanatus; Ranunculus acris; Anthoxanthum odoratum; Trifolium pratense; Plantango lanceolata leaf litter),0,7,1,3,3,S,School of Biological Sciences; 3.614 Stopford Building; University of Manchester; Oxford Road; Manchester M13 9PT; UK,53.46,-2.23,,lat long of address of first author,6,6,6,0.001,,,,100,,,,N,Y,,N,,,,control,control,,9,2.083,2.111,1.927,2.15,1.966,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,6,2,2,Bardgett & Shine 1999,F1; T2,BU,O,4,SST,,g m-2,Microbial biomass,Microbes,protists,Plantae (Lolium perenne; Holcus lanatus; Ranunculus acris; Anthoxanthum odoratum; Trifolium pratense; Plantango lanceolata leaf litter),0,7,1,3,3,S,School of Biological Sciences; 3.614 Stopford Building; University of Manchester; Oxford Road; Manchester M13 9PT; UK,53.46,-2.23,,lat long of address of first author,6,6,6,0.001,,,,100,0.5181,193.0129319,5.262757191,N,Y,,N,,,,control,control,,73.205,53.1245,42.4985,41.0465,43.945,71.5,76.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,3,3,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,RD,C,proportional change,Original units: g L-1 (leaf litter dry mass),Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,Low N,Low P,Low Ca,control,control,,-0.005,0.007,0.0057,0.0075,0.008,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,3,4,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,RD,C,proportional change,Original units: g L-1 (leaf litter dry mass),Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,Low N,Low P,High Ca,experimental,incr,,0.047,0.0212,0.0117,0.0175,0.0195,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,3,5,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,RD,C,proportional change,Original units: g L-1 (leaf litter dry mass),Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,Low N,High P,Low Ca,experimental,incr,,0.064,0.034,0.0327,0.0475,0.0475,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,3,6,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,RD,C,proportional change,Original units: g L-1 (leaf litter dry mass),Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,Low N,High P,High Ca,experimental,incr,,0.07,0.0356,0.0387,0.0395,0.0545,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,3,7,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,RD,C,proportional change,Original units: g L-1 (leaf litter dry mass),Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,High N,Low P,Low Ca,experimental,incr,,0.109,0.0576,0.0963,0.075,0.07,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
