"","Mno","Y","richness","richness.n","Entry","Study","Expt","Ref","Source","TDBU","FTG","TG","Ygen","Yqual","Yunits","Ydesc","Consumer","Taxon","Resource","Sys1","Sys2","Des1","Des2","Des3","Des4","Location","Lat","Lon","Elev","LatlonError","Slevels","Spool","Smax","Area","Vol","Bsize","SPscale","Dur","Gtime","Tscale","LnTscale","Tser","FinalT","SnonF","HigherT","AddTrt1","AddTrt2","AddTrt3","Treatment","restrt","Monotes","logS","Smax1","TG1","logY","unit.types","unit.types2","MaxTscale","Finaltime","logMaxTime"
"1",768,1.56,"7",7,44,8,17,"Bruno et al. 2005","F1; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",2,7,"7",NA,60,"60",0,34,365,0.0932,"-2.3735","N","Y","0","N","","","","control","control","",1.94591014905531,7,"1",0.444685821261446,"mass","biomass",0.0932,"Y",-2.37300755729059
"2",768,1.37,"1",1,44,8,17,"Bruno et al. 2005","F1; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",2,7,"7",NA,60,"60",0,34,365,0.0932,"-2.3735","N","Y","0","N","","","","control","control","",0,7,"1",0.314810739840034,"mass","biomass",0.0932,"Y",-2.37300755729059
"3",769,3.1269,"9",9,45,8,18,"Bruno et al. 2005","F1; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",4,9,"9",NA,30,"90",0,28,365,0.0767,"-2.5677","N","Y","0","N","","","","control","control","",2.19722457733622,9,"1",1.14004209843125,"mass","biomass",0.0767,"Y",-2.56785357060893
"4",769,2.523,"1",1,45,8,18,"Bruno et al. 2005","F1; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",4,9,"9",NA,30,"90",0,28,365,0.0767,"-2.5677","N","Y","0","N","","","","control","control","",0,9,"1",0.925448669658921,"mass","biomass",0.0767,"Y",-2.56785357060893
"5",769,2.682,"3",3,45,8,18,"Bruno et al. 2005","F1; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",4,9,"9",NA,30,"90",0,28,365,0.0767,"-2.5677","N","Y","0","N","","","","control","control","",1.09861228866811,9,"1",0.986562784859487,"mass","biomass",0.0767,"Y",-2.56785357060893
"6",769,3.1299,"6",6,45,8,18,"Bruno et al. 2005","F1; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",4,9,"9",NA,30,"90",0,28,365,0.0767,"-2.5677","N","Y","0","N","","","","control","control","",1.79175946922805,9,"1",1.1410010551599,"mass","biomass",0.0767,"Y",-2.56785357060893
"7",770,1.7868,"1",1,46,8,19,"Bruno et al. 2005","F1; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",3,6,"6",NA,30,"36",0,17,365,0.0466,"-3.0667","N","Y","0","N","","","","control","control","",0,6,"1",0.580426310495826,"mass","biomass",0.0466,"Y",-3.06615473785054
"8",770,1.9764,"6",6,46,8,19,"Bruno et al. 2005","F1; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",3,6,"6",NA,30,"36",0,17,365,0.0466,"-3.0667","N","Y","0","N","","","","control","control","",1.79175946922805,6,"1",0.681277007989458,"mass","biomass",0.0466,"Y",-3.06615473785054
"9",770,1.9788,"3",3,46,8,19,"Bruno et al. 2005","F1; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",3,6,"6",NA,30,"36",0,17,365,0.0466,"-3.0667","N","Y","0","N","","","","control","control","",1.09861228866811,6,"1",0.682490600371416,"mass","biomass",0.0466,"Y",-3.06615473785054
"10",771,1274,"3",3,47,8,20,"Bruno et al. 2005","F2; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",3,6,"6",NA,0.045,"42",0,21,365,0.0575,"-2.8554","N","Y","0","N","","","","control","control","",1.09861228866811,6,"1",7.14991683613211,"mass","biomass",0.0575,"Y",-2.85597033117883
"11",771,1339.3333,"1",1,47,8,20,"Bruno et al. 2005","F2; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",3,6,"6",NA,0.045,"42",0,21,365,0.0575,"-2.8554","N","Y","0","N","","","","control","control","",0,6,"1",7.19992723181877,"mass","biomass",0.0575,"Y",-2.85597033117883
"12",771,1371.0667,"6",6,47,8,20,"Bruno et al. 2005","F2; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",3,6,"6",NA,0.045,"42",0,21,365,0.0575,"-2.8554","N","Y","0","N","","","","control","control","",1.79175946922805,6,"1",7.2233443289989,"mass","biomass",0.0575,"Y",-2.85597033117883
"13",772,1174.4,"1",1,48,8,21,"Bruno et al. 2005","F2; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",2,4,"4",NA,0.045,"48",0,21,365,0.0575,"-2.8554","N","Y","0","N","","","","control","control","",0,4,"1",7.06851265786025,"mass","biomass",0.0575,"Y",-2.85597033117883
"14",772,1578.2222,"4",4,48,8,21,"Bruno et al. 2005","F2; F4; T2","TD","P",1,"SST","","g L-1","Algal wet mass","Macroalgae (Rhodophyta; Phaeophyta; Chlorophyta)","macroalgae","",1,4,2,2,2,"S","University of North Carolina at Chapel Hillês Institute of Marine Science (IMS) in Morehead City; NC.",34.72,-76.72,NA,"",2,4,"4",NA,0.045,"48",0,21,365,0.0575,"-2.8554","N","Y","0","N","","","","control","control","",1.38629436111989,4,"1",7.36405430264622,"mass","biomass",0.0575,"Y",-2.85597033117883
"15",773,298.06,"1",1,51,10,23,"Callaway et al. 2003","F3; F4","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Saltmarsh vegetation)","plant","Inorganic Inorganic nutrients (N)",0,5,2,4,2,"S","Tidal Linkage an excavated salt marsh plain within the Tijuana River National Estuarine Research Reserve; hereafter Tijuana Estuary.",32.56,-117.13,NA,"",3,8,"6",4,NA,"43.875",0.0912,1005,638.75,1.5734,"0.4532","N","Y","0","Y","","","","control","control","",0,6,"1",5.69729480852065,"mass","biomass",1.5734,"Y",0.453238882913005
"16",773,442.6808,"3",3,51,10,23,"Callaway et al. 2003","F3; F4","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Saltmarsh vegetation)","plant","Inorganic Inorganic nutrients (N)",0,5,2,4,2,"S","Tidal Linkage an excavated salt marsh plain within the Tijuana River National Estuarine Research Reserve; hereafter Tijuana Estuary.",32.56,-117.13,NA,"",3,8,"6",4,NA,"43.875",0.0912,1005,638.75,1.5734,"0.4532","N","Y","0","Y","","","","control","control","",1.09861228866811,6,"1",6.09284896856943,"mass","biomass",1.5734,"Y",0.453238882913005
"17",773,498.2363,"6",6,51,10,23,"Callaway et al. 2003","F3; F4","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Saltmarsh vegetation)","plant","Inorganic Inorganic nutrients (N)",0,5,2,4,2,"S","Tidal Linkage an excavated salt marsh plain within the Tijuana River National Estuarine Research Reserve; hereafter Tijuana Estuary.",32.56,-117.13,NA,"",3,8,"6",4,NA,"43.875",0.0912,1005,638.75,1.5734,"0.4532","N","Y","0","Y","","","","control","control","",1.79175946922805,6,"1",6.21107446247805,"mass","biomass",1.5734,"Y",0.453238882913005
"18",774,269,"1",1,54,10,23,"Callaway et al. 2003","F2","TD","P",1,"SST","","g m-2","Plant belowground dry mass","Plantae (Saltmarsh vegetation)","plant","Inorganic Inorganic nutrients (N)",0,5,2,4,2,"S","Tidal Linkage an excavated salt marsh plain within the Tijuana River National Estuarine Research Reserve; hereafter Tijuana Estuary.",32.56,-117.13,NA,"",3,8,"6",4,NA,"43.875",0.0912,1005,638.75,1.5734,"0.4532","N","Y","0","Y","","","","control","control","",0,6,"1",5.59471137960184,"mass","biomass",1.5734,"Y",0.453238882913005
